"yf-u4m6f0","yf-u4m6f0 2","yf-u4m6f0 3","yf-u4m6f0 4","yf-u4m6f0 5","yf-u4m6f0 6","yf-u4m6f0 7"
"Jul 28, 2025","7,630.75","7,669.45","7,614.77","7,614.77","7,614.77","229,532,300"
"Jul 25, 2025","7,542.38","7,552.77","7,515.13","7,543.50","7,543.50","215,990,900"
"Jul 24, 2025","7,485.08","7,568.22","7,478.36","7,530.90","7,530.90","242,813,700"
"Jul 23, 2025","7,378.23","7,469.23","7,355.00","7,469.23","7,469.23","247,067,700"
"Jul 22, 2025","7,440.29","7,457.38","7,344.74","7,344.74","7,344.74","279,326,600"
"Jul 21, 2025","7,366.31","7,408.01","7,306.87","7,398.19","7,398.19","287,814,600"
"Jul 18, 2025","7,346.04","7,401.58","7,311.92","7,311.92","7,311.92","273,828,000"
"Jul 17, 2025","7,229.26","7,291.56","7,226.12","7,287.02","7,287.02","202,116,700"
"Jul 16, 2025","7,182.65","7,216.81","7,142.86","7,192.02","7,192.02","227,976,400"
"Jul 15, 2025","7,122.08","7,161.84","7,079.00","7,140.47","7,140.47","199,389,400"
"Jul 14, 2025","7,130.54","7,136.30","7,071.34","7,097.15","7,097.15","205,642,100"
"Jul 11, 2025","7,036.30","7,055.79","7,026.49","7,047.44","7,047.44","165,301,900"
"Jul 10, 2025","6,968.80","7,013.63","6,955.46","7,005.37","7,005.37","167,684,600"
"Jul 9, 2025","6,918.70","6,943.92","6,907.21","6,943.92","6,943.92","157,353,100"
"Jul 8, 2025","6,892.34","6,916.83","6,885.28","6,904.39","6,904.39","151,801,800"
"Jul 7, 2025","6,874.01","6,900.93","6,844.86","6,900.93","6,900.93","120,827,500"
"Jul 4, 2025","6,893.22","6,916.67","6,843.69","6,865.19","6,865.19","132,824,800"
"Jul 3, 2025","6,898.63","6,922.73","6,877.44","6,878.05","6,878.05","154,435,700"
"Jul 2, 2025","6,896.42","6,905.37","6,838.40","6,881.25","6,881.25","182,041,600"
